nameofissuer,titleofclass,cusip,value,shrsorprnamt,investmentdiscretion,votingauthority
ARCOS DORADOS HOLDINGS INC,SHS CLASS -A -,G0457F107,30850,None,SOLE,None
AUTONATION INC,COM,05329W102,101069,None,SOLE,None
BERKSHIRE HATHAWAY INC DEL,CL B NEW,084670702,9627664,None,SOLE,None
BP PLC,SPONSORED ADR,055622104,351864,None,SOLE,None
CANADIAN NATL RY CO,COM,136375102,962873,None,SOLE,None
CATERPILLAR INC,COM,149123101,1118991,None,SOLE,None
COCA COLA CO,COM,191216100,1314517,None,SOLE,None
COCA COLA FEMSA SAB,SPON ADR REP L,191241108,655777,None,SOLE,None
CROWN CASTLE INTL CORP,COM,228227104,393461,None,SOLE,None
ECOLAB INC,COM,278865100,471530,None,SOLE,None
EXXON MOBIL CORP,COM,30231G102,795492,None,SOLE,None
FEDEX CORP,COM,31428X106,400994,None,SOLE,None
GRUPO TELEVISA SA,SPON ADR REP ORD,40049J206,561905,None,SOLE,None
LIBERTY GLOBAL PLC,SHS CL A,G5480U104,88172,None,SOLE,None
LIBERTY GLOBAL PLC,SHS CL C,G5480U120,143809,None,SOLE,None
MCDONALDS CORP,COM,580135101,1065831,None,SOLE,None
REPUBLIC SVCS INC,COM,760759100,46116,None,SOLE,None
THAI FUND INC,COM,882904105,2970,None,SOLE,None
WAL-MART STORES INC,COM,931142103,886817,None,SOLE,None
WASTE MGMT INC DEL,COM,94106L109,783919,None,SOLE,None
