nameofissuer,titleofclass,cusip,value,shrsorprnamt,investmentdiscretion,othermanager,votingauthority
AMERICAN EXPRESS CO,COM,025816109,181627,None,DFND,4,None
AMERICAN EXPRESS CO,COM,025816109,1602651,None,DFND,"4,5",None
AMERICAN EXPRESS CO,COM,025816109,78138,None,DFND,"4,7",None
AMERICAN EXPRESS CO,COM,025816109,180786,None,DFND,"4,8,11",None
AMERICAN EXPRESS CO,COM,025816109,743821,None,DFND,"4,10",None
AMERICAN EXPRESS CO,COM,025816109,11188607,None,DFND,"4,11",None
AMERICAN EXPRESS CO,COM,025816109,130229,None,DFND,"4,13",None
BANK OF NEW YORK MELLON CORP,COM,064058100,300814,None,DFND,4,None
BANK OF NEW YORK MELLON CORP,COM,064058100,72779,None,DFND,"2,4,11",None
BANK OF NEW YORK MELLON CORP,COM,064058100,267663,None,DFND,"4,8,11",None
BANK OF NEW YORK MELLON CORP,COM,064058100,22314,None,DFND,"4,5,9",None
BANK OF NEW YORK MELLON CORP,COM,064058100,229480,None,DFND,"4,11",None
CHARTER COMMUNICATIONS INC D,CL A NEW,16117M305,318958,None,DFND,4,None
CHARTER COMMUNICATIONS INC D,CL A NEW,16117M305,713793,None,DFND,"4,8,11",None
CHICAGO BRIDGE & IRON CO N V,N Y REGISTRY SH,167250109,177708,None,DFND,4,None
CHICAGO BRIDGE & IRON CO N V,N Y REGISTRY SH,167250109,271525,None,DFND,"4,8,11",None
COCA COLA CO,COM,191216100,33776,None,DFND,4,None
COCA COLA CO,COM,191216100,3389557,None,DFND,"4,5",None
COCA COLA CO,COM,191216100,77009,None,DFND,"4,6",None
COCA COLA CO,COM,191216100,608441,None,DFND,"4,8,11",None
COCA COLA CO,COM,191216100,771714,None,DFND,"4,10",None
COCA COLA CO,COM,191216100,11817006,None,DFND,"4,11",None
COCA COLA CO,COM,191216100,149965,None,DFND,"4,12",None
COCA COLA CO,COM,191216100,40531,None,DFND,"4,13",None
COSTCO WHSL CORP NEW,COM,22160K105,614254,None,DFND,"4,11",None
DAVITA HEALTHCARE PARTNERS I,COM,23918K108,1518745,None,DFND,4,None
DAVITA HEALTHCARE PARTNERS I,COM,23918K108,1402211,None,DFND,"4,8,11",None
DEERE & CO,COM,244199105,147418,None,DFND,4,None
DEERE & CO,COM,244199105,204584,None,DFND,"4,8,11",None
DEERE & CO,COM,244199105,1160560,None,DFND,"4,11",None
DIRECTV,COM,25490A309,583970,None,DFND,4,None
DIRECTV,COM,25490A309,1495590,None,DFND,"4,8,11",None
DIRECTV,COM,25490A309,600534,None,DFND,"4,10",None
DIRECTV,COM,25490A309,38252,None,DFND,"4,11",None
GENERAL ELECTRIC CO,COM,369604103,14882,None,DFND,4,None
GENERAL ELECTRIC CO,COM,369604103,13533,None,DFND,"4,5",None
GENERAL ELECTRIC CO,COM,369604103,126307,None,DFND,"4,8,11",None
GENERAL ELECTRIC CO,COM,369604103,902,None,DFND,"4,10",None
GENERAL ELECTRIC CO,COM,369604103,107361,None,DFND,"4,11",None
GENERAL ELECTRIC CO,COM,369604103,4511,None,DFND,"4,12",None
GENERAL MTRS CO,COM,37045V100,392914,None,DFND,4,None
GENERAL MTRS CO,COM,37045V100,792632,None,DFND,"4,8,11",None
GENERAL MTRS CO,COM,37045V100,202560,None,DFND,"4,10",None
GENERAL MTRS CO,COM,37045V100,43205,None,DFND,"4,11",None
